video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
19a562bb-aac3-5aae-af05-10d00ef0754a,e97fb279-55b6-5e27-b7a5-626d3f0e3bad,Other,same_site_diff_session,0.8219,0.5715,0.9431,0.7149,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,27cc78b0-9192-54aa-8573-d145d4dae9cd,Other,same_site_diff_session,0.7251,0.5921,0.8796,0.6818,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,53ba4a7b-25c0-5c51-a977-4cb2cdafea87,Other,same_site_diff_session,0.7803,0.6932,0.8296,0.7441,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,6c1204e1-7691-5f1d-8aea-4428eb5619f3,Other,same_site_diff_session,0.8321,0.6806,0.8979,0.7662,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,8180724b-ba70-50b7-bd5d-42909a66a19a,Other,same_site_diff_session,0.8091,0.6664,0.862,0.7457,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,9b87161f-9e72-5674-894f-2960c03fe2be,Other,same_site_diff_session,0.6788,0.5821,0.8085,0.6499,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,aaa3da05-e144-5d8a-b164-dc82323a7dd2,Other,same_site_diff_session,0.6591,0.5546,0.8566,0.6365,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,d1d24a75-7e20-5eb9-aee5-03579841f7ab,Other,same_site_diff_session,0.7082,0.6153,0.8171,0.6781,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,d5d91393-cb7e-5f9e-9e29-97fda46fefbd,Other,same_site_diff_session,0.6838,0.6247,0.7579,0.6654,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,f120d01b-96cc-52ff-935b-7e2a93f4c297,Other,same_site_diff_session,0.7835,0.5888,0.9031,0.7041,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,f31c3bed-0fdd-5d48-b670-987b6fad70a9,Other,same_site_diff_session,0.7817,0.6562,0.8686,0.732,100.0,SAME_ENV
1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,f6ee5ec0-d3a1-5e59-a930-1a33af1e2ad1,Other,same_site_diff_session,0.7846,0.6565,0.8798,0.7348,100.0,SAME_ENV
22ae0c2a-3aeb-5a7a-b430-2efe2f13a095,3d4a4d31-16a3-57b3-97b5-ef875bb29f2f,Other,same_session_distant,0.8028,0.5929,0.9169,0.715,100.0,SAME_ENV
22ae0c2a-3aeb-5a7a-b430-2efe2f13a095,50e82224-2f37-5a71-a4a7-9dfe1351f239,Other,same_session_distant,0.8188,0.551,0.917,0.6997,100.0,SAME_ENV
22ae0c2a-3aeb-5a7a-b430-2efe2f13a095,eadb4f58-460e-5caf-9f20-3851c618163b,Other,same_site_diff_session,0.7748,0.6037,0.9057,0.7089,100.0,SAME_ENV
25b18866-00e9-5220-ae3a-f8626c749bd0,3cb28cc5-de5b-5351-bccc-dca1631b6a15,Other,same_site_diff_session,0.8316,0.6585,0.919,0.7581,100.0,SAME_ENV
25b18866-00e9-5220-ae3a-f8626c749bd0,7e55e02f-73fc-5c9b-b827-21d2b4a83cb2,Other,same_session_distant,0.963,0.7204,0.9691,0.8426,100.0,SAME_ENV
25b18866-00e9-5220-ae3a-f8626c749bd0,a83bd186-d88e-57ca-9eb8-ce027f21ce36,Other,same_site_diff_session,0.6658,0.5255,0.8838,0.6284,100.0,SAME_ENV
